age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41, Local-gov,183224, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, Taiwan, >50K
34, Self-emp-inc,174215, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,4787,0,45, France, >50K
78, Self-emp-inc,237294, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,45, United-States, >50K
23, Private,138892, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States, <=50K
34, Private,103596, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,423222, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
36, Private,334291, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
19, Private,97215, Some-college,10, Separated, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
90, ?,313986, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
39, Private,169249, HS-grad,9, Separated, Other-service, Other-relative, Black, Male,0,0,40, United-States, <=50K
26, Private,252565, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
25, Private,182656, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private,209867, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,13550,0,45, United-States, >50K
65, Self-emp-inc,178771, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,210474, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,285102, Masters,14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Taiwan, >50K
21, Private,434710, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
43, Private,185129, Bachelors,13, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private,53147, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,50, United-States, <=50K
45, Private,449354, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
59, Federal-gov,293971, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
40, Private,275446, HS-grad,9, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private,163516, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private,60288, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private,160035, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,261278, Assoc-voc,11, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Local-gov,159641, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,0,625,40, United-States, <=50K
60, Private,185749, 11th,7, Widowed, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
50, Private,211319, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
51, Private,86332, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,4064,0,55, United-States, <=50K
30, Federal-gov,49593, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
30, Private,128065, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
22, Private,117606, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States, <=50K
63, ?,301611, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K
52, Local-gov,108083, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
41, Private,179875, 11th,7, Divorced, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
60, Private,355865, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
30, Private,361742, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
55, State-gov,71630, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,1617,40, United-States, <=50K
27, Private,161155, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private,185607, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
43, Private,186396, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
22, Private,216867, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Mexico, <=50K
22, Local-gov,39236, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,594,0,25, United-States, <=50K
18, Private,25837, 11th,7, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, United-States, <=50K
59, State-gov,349910, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,10605,0,50, United-States, >50K
30, Private,243190, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20, India, >50K
26, Private,61270, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Columbia, <=50K
25, Private,177499, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,1590,35, United-States, <=50K
48, Private,185039, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K
34, Private,226525, Assoc-voc,11, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private,220362, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, >50K
51, Private,136913, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
76, Private,97077, 10th,6, Widowed, Sales, Unmarried, Black, Female,0,0,12, United-States, <=50K
22, Private,59924, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
53, Self-emp-inc,246562, 5th-6th,3, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
44, Private,172025, Some-college,10, Separated, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
20, Private,169600, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,2176,0,12, United-States, <=50K
43, Private,168412, HS-grad,9, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,44, Poland, <=50K
63, Private,206052, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,182866, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private,191814, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
35, Federal-gov,226916, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
21, Private,202871, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
74, Self-emp-not-inc,119129, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,2149,20, United-States, <=50K
47, Self-emp-not-inc,370119, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
29, Private,53434, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
59, Private,233312, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
53, Local-gov,207449, 10th,6, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
51, Private,208899, Bachelors,13, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private,215790, Some-college,10, Widowed, Adm-clerical, Other-relative, White, Female,0,0,22, United-States, <=50K
21, ?,479482, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
34, Local-gov,183801, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,14, United-States, <=50K
48, Private,349151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc,477867, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
59, Private,177120, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov,173938, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
50, Private,166565, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
35, Private,103986, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
49, Private,39986, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,22422, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, ?,186452, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,36, United-States, <=50K
51, Private,189551, HS-grad,9, Divorced, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
70, Self-emp-not-inc,150886, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States, <=50K
49, Private,143482, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private,139012, Assoc-voc,11, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,2463,0,40, Vietnam, <=50K
33, Private,176711, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, <=50K
35, Private,209214, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,4386,0,35, United-States, >50K
38, Self-emp-inc,187934, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, Poland, <=50K
32, Private,116055, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,2977,0,35, United-States, <=50K
36, Private,317040, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,54, United-States, <=50K
28, Federal-gov,42003, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
53, Private,218630, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
43, Private,161226, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private,347867, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, White, Male,0,1719,40, United-States, <=50K
50, Self-emp-not-inc,343748, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
35, ?,103710, Bachelors,13, Divorced, ?, Unmarried, White, Female,0,0,16, ?, <=50K
48, Private,209182, Preschool,1, Separated, Other-service, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
32, Self-emp-inc,195447, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
25, Private,194897, HS-grad,9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,6849,0,40, United-States, <=50K
43, Private,137722, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
34, Private,42900, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Private,27886, 7th-8th,4, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-inc,121836, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, ?, >50K
56, Private,367984, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
47, Self-emp-not-inc,243631, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
37, State-gov,150566, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
29, Local-gov,116751, Assoc-voc,11, Divorced, Protective-serv, Unmarried, White, Male,0,0,56, United-States, <=50K
62, Private,26966, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc,187702, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2415,60, United-States, >50K
50, Private,237729, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,2444,72, United-States, >50K
42, Federal-gov,115932, Bachelors,13, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private,123270, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private,189404, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,0,35, ?, <=50K
22, Private,153805, HS-grad,9, Never-married, Other-service, Unmarried, Other, Male,0,0,20, Puerto-Rico, <=50K
17, ?,262196, 10th,6, Never-married, ?, Own-child, White, Male,0,0,8, United-States, <=50K
26, Private,117833, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,1669,50, United-States, <=50K
